트립ID,트립명,도시,출발일,도착일,유형,참가자명,소속,직급,유입경로,1인참가비,트립총매출,트립총비용,트립영업이익,만족도,NPS,재참가의향,컨설팅전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,장미래,1인 브랜드,디렉터,도서,1890000,15120000,8050000,7070000,4.2,8,예,미전환
TRIP-2602-01,도쿄 브랜드 스터디,도쿄,2026-02-06,2026-02-08,B2C,하승우,IT 기업 E,팀장,지인추천,1890000,15120000,8050000,7070000,4.9,9,예,미전환
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,권나영,HFK 경영전략,대표,기업,,22000000,10300000,11700000,4.6,8,예,미전환
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,양현석,HFK 마케팅,이사,기업,,22000000,10300000,11700000,4.7,10,예,미전환
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,차예진,HFK 브랜드,디렉터,기업,,22000000,10300000,11700000,5.0,9,아니오,
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,고준서,HFK 리테일,대표,기업,,22000000,10300000,11700000,4.3,8,예,
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,안수진,HFK 컨설팅,파트너,기업,,22000000,10300000,11700000,4.7,10,예,
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,서민재,HFK 투자,이사,기업,,22000000,10300000,11700000,4.1,6,미정,
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,손태희,HFK F&B,대표,기업,,22000000,10300000,11700000,5.0,6,미정,미전환
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,유가영,HFK 디자인,대표,기업,,22000000,10300000,11700000,4.8,10,미정,미전환
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,노현진,HFK 미디어,PD,기업,,22000000,10300000,11700000,4.7,8,미정,
TRIP-2602-02,HFK 멤버 도쿄 인사이트 트립,도쿄,2026-02-20,2026-02-22,B2B,홍서준,HFK 스타트업,대표,기업,,22000000,10300000,11700000,4.9,10,예,전환
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,민수아,광고 대행사 G,마케터,뉴스레터,1590000,9540000,6200000,3340000,4.1,8,아니오,미전환
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,백도연,콘텐츠 기획사,이사,뉴스레터,1590000,9540000,6200000,3340000,4.9,10,예,미전환
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,우성민,패션 브랜드 B,에디터,인스타그램,1590000,9540000,6200000,3340000,4.7,8,아니오,미전환
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,감나라,패션 브랜드 B,에디터,지인추천,1590000,9540000,6200000,3340000,4.8,9,아니오,미전환
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,추동혁,공간 기획사 H,매니저,인스타그램,1590000,9540000,6200000,3340000,5.0,7,예,
TRIP-2603-01,상하이 차세대 아시아 물결 투어,상하이,2026-03-06,2026-03-08,B2C,변서윤,공간 기획사 H,대표,인스타그램,1590000,9540000,6200000,3340000,4.2,10,미정,미전환
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,탁지우,리테일 기업 C,마케터,검색,1890000,13230000,7200000,6030000,4.1,10,아니오,
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,진하영,리테일 기업 C,이사,도서,1890000,13230000,7200000,6030000,4.6,9,미정,미전환
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,마준혁,패션 브랜드 B,마케터,뉴스레터,1890000,13230000,7200000,6030000,4.9,10,예,미전환
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,피수정,F&B 스타트업,이사,지인추천,1890000,13230000,7200000,6030000,4.0,10,미정,미전환
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,공도윤,광고 대행사 G,대표,뉴스레터,1890000,13230000,7200000,6030000,4.1,8,미정,
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,길서현,1인 브랜드,기획자,도서,1890000,13230000,7200000,6030000,4.5,10,미정,
TRIP-2603-02,도쿄 디자인 스터디,도쿄,2026-03-13,2026-03-15,B2C,반지호,뷰티셀렉타,MD,인스타그램,1890000,13230000,7200000,6030000,4.6,10,아니오,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,설유나,콘텐츠 기획사,이사,인스타그램,1590000,12720000,8200000,4520000,4.9,10,예,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,국현서,마케팅 에이전시 A,팀장,뉴스레터,1590000,12720000,8200000,4520000,4.6,9,예,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,봉미소,미디어 기업 F,기획자,인스타그램,1590000,12720000,8200000,4520000,4.4,8,예,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,엄태준,리테일 기업 C,에디터,인스타그램,1590000,12720000,8200000,4520000,4.2,10,예,미전환
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,채나린,브랜드 컨설턴트,PD,인스타그램,1590000,12720000,8200000,4520000,4.7,9,예,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,방도영,마케팅 에이전시 A,이사,도서,1590000,12720000,8200000,4520000,4.1,10,미정,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,좌예솔,뷰티셀렉타,마케터,검색,1590000,12720000,8200000,4520000,4.6,8,예,
TRIP-2603-03,상하이 인사이트 트립,상하이,2026-03-27,2026-03-29,B2C,편지후,콘텐츠 기획사,대표,검색,1590000,12720000,8200000,4520000,4.6,9,미정,미전환
